Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Orangutan_ID,First_Urine_Day,Dirt_Fecal,CAMP/LAB_specgravitymeter,Site,Species,Age_Class,Creatinine_Result,CV,Status
279,5035,02-Jul-12,Idun,6:28:00 AM,Kondor,FALSE,TRUE,1.036,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.113,10.3,ok
280,5041,04-Jul-12,Idun,8:51:00 AM,Milo,FALSE,TRUE,1.019,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.476,1.7,ok
281,5059,09-Jul-12,Idun,8:20:00 AM,Wodan,FALSE,TRUE,1.017,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.596,2.4,ok
282,5125,29-Jul-12,Idun,12:28:00 PM,Owl-eye,FALSE,TRUE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult unflanged male,0.788,2.9,ok
283,5134,02-Aug-12,Idun,6:51:00 AM,Pinky,TRUE,TRUE,1.009,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,2.108,3,ok
284,5149,08-Aug-12,Idun,5:24:00 AM,Kondor,TRUE,TRUE,1.038,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,"1.28
 
 
1.28",2.2,ok
285,5149,08-Aug-12,Idun,10:15:00 AM,Kondor,FALSE,TRUE,1.032,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.507,4.2,ok
286,5162,15-Aug-12,Alysse,6:23:00 AM,Fugit,TRUE,FALSE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.585,7.6,ok
287,5193,30-Aug-12,Idun,5:33:00 AM,Kerry,TRUE,TRUE,1.002,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.419,6.2,ok
288,5200,02-Sep-12,Alysse,11:44:00 AM,Gismo,FALSE,TRUE,1.038,Tuanan,Pongo pygmaeus wurmbii,adult unflanged male,0.128,7.4,ok
289,,01-Oct-12,Idun,9:52:00 AM,Deri,FALSE,TRUE,1.025,Tuanan,Pongo pygmaeus wurmbii,semi-independent immature (juveniles),1.121,6.1,ok
290,5248,02-Oct-12,Idun,,Fayesh,FALSE,TRUE,1.038,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.725,3.9,ok
291,5264,09-Oct-12,Idun,7:54:00 AM,Kondor,FALSE,TRUE,1.024,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.555,0.9,ok
292,5268,11-Oct-12,Caco,8:16:00 AM,Desy,FALSE,TRUE,1.039,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.278,2.1,ok
293,5270,12-Oct-12,Alysse,1:00:00 PM,Desy,FALSE,TRUE,1.039,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.01,11,ok
294,5275,13-Oct-12,Brigitte,6:40:00 AM,Tomi,FALSE,TRUE,1.022,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.817,3.7,ok
295,5273,13-Oct-12,Bec,6:45:00 AM,Desy,TRUE,TRUE,1.030,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
296,5276,14-Oct-11,Idun,5:05:00 AM,Desy,TRUE,TRUE,1.023,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.873,3.3,ok
297,5278,15-Oct-12,Caco,5:00:00 AM,Desy,TRUE,TRUE,1.030,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.022,4.2,ok
298,5285,17-Oct-12,Idun,8:56:00 AM,Mindy,FALSE,TRUE,1.019,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.176,1.3,ok
299,5292,20-Oct-12,Alysse,5:37:00 AM,Mindy,TRUE,FALSE,1.039,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.2,6.2,ok
300,5295,21-Oct-12,Idun,4:58:00 AM,Mindy,TRUE,TRUE,1.039,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.373,1.7,ok
301,5296,21-Oct-12,Caco,5:26:00 AM,Mawas,TRUE,TRUE,1.007,Tuanan,Pongo pygmaeus wurmbii,dependent immature non-clinging infant (4yrs-weaned),0.1,4.2,ok
302,5300,22-Oct-12,Alysse,4:48:00 AM,Mindy,TRUE,FALSE,1.039,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.358,1,ok
303,,22-Oct-12,Alysse,4:57:00 AM,Milo,TRUE,FALSE,1.039,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.587,4.5,ok
304,5304,23-Oct-12,Caco,4:46:00 AM,Mindy,TRUE,TRUE,1.003,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.54,0.8,ok
305,,23-Oct-12,Caco,7:47:00 AM,Milo,FALSE,TRUE,1.040,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.32,1.7,ok
306,5304,28-Oct-12,Caco,12:52:00 PM,Mindy,FALSE,TRUE,1.030,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.512,1.2,ok
307,5325,05-Nov-12,Idun,2:13:00 PM,Teju,FALSE,TRUE,1.033,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.769,1.2,ok
308,5331,10-Nov-12,Caco,10:23:00 AM,Kondor,FALSE,TRUE,1.020,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.586,1.5,ok
309,5335,11-Nov-12,Abuk,5:16:00 AM,Teju,TRUE,TRUE,1.007,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.331,0.7,ok
310,5337,12-Nov-12,Idun,8:48:00 AM,Juni,FALSE,FALSE,1.033,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.429,1.2,ok
311,5344,14-Nov-12,Idun,8:35:00 AM,Chili,FALSE,TRUE,1.032,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,1.219,0.7,ok
312,5342,14-Nov-12,Idun,11:27:00 AM,Juni,FALSE,TRUE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.282,0.5,ok
313,5350,17-Nov-12,Caco,8:44:00 AM,Kerry,FALSE,TRUE,1.033,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.386,0.6,ok
314,5353,18-Nov-12,Idun,7:25:00 AM,Kerry,FALSE,TRUE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.378,0.4,ok
315,5353,18-Nov-12,Idun,9:23:00 AM,Kerry,FALSE,TRUE,1.032,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.308,1.1,ok
316,5358,21-Nov-12,Idun,10:07:00 AM,Kerry,FALSE,TRUE,1.011,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.685,2.4,ok
317,5358,21-Nov-12,Alysse,1:25:00 PM,Kerry,FALSE,TRUE,1.032,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.099,3.4,ok
318,,25-Nov-12,Idun,5:06:00 AM,Mindy,TRUE,FALSE,1.031,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.385,0.9,ok
319,,25-Nov-12,Idun,4:39:00 AM,Mawas,TRUE,TRUE,1.042,Tuanan,Pongo pygmaeus wurmbii,dependent immature non-clinging infant (4yrs-weaned),0.423,0.7,ok
320,5366,25-Nov-12,Alysse,4:56:00 AM,Milo,TRUE,TRUE,1.033,Tuanan,Pongo pygmaeus wurmbii,independent immature (older juvs),0.748,0.5,ok
321,5368,26-Nov-12,Alysse,10:38:00 AM,Chili,FALSE,FALSE,1.006,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,
322,5369,27-Nov-12,Idun,1:43:00 PM,Chili,FALSE,TRUE,1.012,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,
323,5374,02-Dec-12,Alysse,2:45:00 PM,Wodan,FALSE,FALSE,1.033,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.799,3.7,ok
324,5375,03-Dec-12,Alysse,1:34:00 PM,Wodan,FALSE,TRUE,1.016,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,,,
325,5379,04-Dec-12,Idun,9:35:00 AM,Juni,FALSE,TRUE,1.011,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
326,5383,08-Dec-12,Alysse,7:54:00 AM,Desy,FALSE,TRUE,1.007,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,
