sample_number,follow_number,Date_Collected,Orangutan_ID,Time_Collected,First_Urine_Day,Site,Age_Class,Analysis_Date,Creatinine_Result,CV,SGmeter,Sex,Habitat_Wide,HI_Low_FAI_Quartiles,SG-1,Cr/(SG-1)
VTU072,5383,08-Dec-12,Desy,5:50:00 AM,TRUE,Tuanan,adult female with dependent,11-Oct-13,0.451862464,0.986452073,1.012,Female,8.91,High,0.012,37.65520535
VTU041,5249,02-Oct-12,Desy,4:56:00 AM,FALSE,Tuanan,adult female with dependent,18-Mar-15,2.081,1,1.032,Female,6.55,High,0.032,65.03125
440,5672,01-Aug-13,Desy,6:38:00 AM,TRUE,Tuanan,adult female with dependent,18-Mar-15,0.861,1.1,1.037,Female,3.12,Low,0.037,23.27027027
VTU044,5270,12-Oct-12,Desy,10:51:00 AM,FALSE,Tuanan,adult female with dependent,11-Oct-13,0.888681948,1.208339816,1.021,Female,6.55,High,0.021,42.31818802
VTU045,5270,12-Oct-12,Desy,1:00:00 PM,FALSE,Tuanan,adult female with dependent,23-Nov-13,0.047749141,1.628457503,1.002,Female,6.55,High,0.002,23.87457045
VTU043,5268,11-Oct-12,Desy,8:16:00 AM,FALSE,Tuanan,adult female with dependent,11-Oct-13,0.319627507,1.711509018,,Female,6.55,High,,
1438,8943,21-May-17,Desy,4:37:00 AM,TRUE,Tuanan,adult female with dependent,03-Apr-20,0.372,1.9,1.016,Female,2.866831073,Low,0.016,23.25
VTU042,5249,02-Oct-12,Desy,11:58:00 AM,FALSE,Tuanan,adult female with dependent,18-Mar-15,1.863,1.9,,Female,6.55,High,,
1212,8042,14-Jun-16,Desy,4:46:00 AM,TRUE,Tuanan,adult female with dependent,14-Jun-19,0.518,2,1.021,Female,0.623515439,Low,0.021,24.66666667
292,5268,11-Oct-12,Desy,8:16:00 AM,FALSE,Tuanan,adult female with dependent,08-Apr-15,0.278,2.1,1.039,Female,6.55,High,0.039,7.128205128
